# use CTRL + F to search

Symbol: AGLD | Network: ETH | Withdrawal fee: 7.92
Symbol: XRP | Network: BNB | Withdrawal fee: 0.32
Symbol: XRP | Network: ETH | Withdrawal fee: 9.87
Symbol: PGALA | Network: BSC | Withdrawal fee: 72
Symbol: JASMY | Network: BSC | Withdrawal fee: 15
Symbol: JASMY | Network: ETH | Withdrawal fee: 827
Symbol: TJS | Network: FIAT_MONEY | Withdrawal fee: 0
Symbol: AED | Network: FIAT_MONEY | Withdrawal fee: 0
Symbol: FIDA | Network: SOL | Withdrawal fee: 0.4
Symbol: SAND | Network: BSC | Withdrawal fee: 0.13
Symbol: SAND | Network: ETH | Withdrawal fee: 7.6
Symbol: SAND | Network: MATIC | Withdrawal fee: 0.34
Symbol: DKK | Network: FIAT_MONEY | Withdrawal fee: 0
Symbol: OCEAN | Network: BSC | Withdrawal fee: 0.23
Symbol: OCEAN | Network: ETH | Withdrawal fee: 12
Symbol: FOR | Network: BSC | Withdrawal fee: 3.74
Symbol: FOR | Network: ETH | Withdrawal fee: 190
Symbol: UMA | Network: ETH | Withdrawal fee: 2.38
Symbol: BGN | Network: FIAT_MONEY | Withdrawal fee: 0
Symbol: SCRT | Network: BSC | Withdrawal fee: 0.11
Symbol: SCRT | Network: SCRT | Withdrawal fee: 0.1
Symbol: TUSD | Network: BSC | Withdrawal fee: 0
Symbol: TUSD | Network: BNB | Withdrawal fee: 0.6
Symbol: TUSD | Network: ETH | Withdrawal fee: 4.5
Symbol: TUSD | Network: TRX | Withdrawal fee: 0.8
Symbol: TKO | Network: BSC | Withdrawal fee: 0.25
Symbol: IDRT | Network: BSC | Withdrawal fee: 1394
Symbol: IDRT | Network: BNB | Withdrawal fee: 2382
Symbol: IDRT | Network: ETH | Withdrawal fee: 74003
Symbol: IDRT | Network: MATIC | Withdrawal fee: 3000
Symbol: BHD | Network: FIAT_MONEY | Withdrawal fee: 0
Symbol: ENJ | Network: ETH | Withdrawal fee: 11
Symbol: UNIDOWN | Network: ETF | Withdrawal fee: 0
Symbol: YFII | Network: BSC | Withdrawal fee: 0.000069
Symbol: YFII | Network: BNB | Withdrawal fee: 0.00014
Symbol: YFII | Network: ETH | Withdrawal fee: 0.0045
Symbol: KZT | Network: FIAT_MONEY | Withdrawal fee: 0
Symbol: OAX | Network: BSC | Withdrawal fee: 0.39
Symbol: OAX | Network: ETH | Withdrawal fee: 19
Symbol: GRT | Network: ETH | Withdrawal fee: 33
Symbol: AFN | Network: FIAT_MONEY | Withdrawal fee: 0
Symbol: HARD | Network: BSC | Withdrawal fee: 0.42
Symbol: HARD | Network: KAVA | Withdrawal fee: 0.048
Symbol: TFUEL | Network: THETA | Withdrawal fee: 2.31
Symbol: ENS | Network: ETH | Withdrawal fee: 0.37
Symbol: TROY | Network: BSC | Withdrawal fee: 27
Symbol: TROY | Network: BNB | Withdrawal fee: 44
Symbol: TROY | Network: ETH | Withdrawal fee: 1377
Symbol: XLMUP | Network: ETF | Withdrawal fee: 0
Symbol: UNI | Network: BSC | Withdrawal fee: 0.014
Symbol: UNI | Network: BNB | Withdrawal fee: 0.027
Symbol: UNI | Network: ETH | Withdrawal fee: 0.84
Symbol: BTCDOWN | Network: ETF | Withdrawal fee: 0
Symbol: TLM | Network: BSC | Withdrawal fee: 4.01
Symbol: TLM | Network: ETH | Withdrawal fee: 236
Symbol: HUF | Network: FIAT_MONEY | Withdrawal fee: 0
Symbol: SBTC | Network: SBTC | Withdrawal fee: 0.0005
Symbol: CKB | Network: CKB | Withdrawal fee: 1
Symbol: WRX | Network: BSC | Withdrawal fee: 0.48
Symbol: WRX | Network: BNB | Withdrawal fee: 0.9
Symbol: WRX | Network: ETH | Withdrawal fee: 28
Symbol: LUNC | Network: LUNC | Withdrawal fee: 22.66
Symbol: XTZ | Network: BSC | Withdrawal fee: 0.02
Symbol: XTZ | Network: XTZ | Withdrawal fee: 0.1
Symbol: XTZ | Network: BNB | Withdrawal fee: 0.15
Symbol: LUNA | Network: LUNA | Withdrawal fee: 0.05
Symbol: ETHDOWN | Network: ETF | Withdrawal fee: 0
Symbol: BCHA | Network: BSC | Withdrawal fee: 0.0028
Symbol: ELON | Network: BSC | Withdrawal fee: 10000000
Symbol: ELON | Network: ETH | Withdrawal fee: 10000000
Symbol: EOS | Network: BSC | Withdrawal fee: 0.081
Symbol: EOS | Network: EOS | Withdrawal fee: 0.08
Symbol: EOS | Network: BNB | Withdrawal fee: 0.13
Symbol: RIF | Network: RSK | Withdrawal fee: 3
Symbol: SKL | Network: ETH | Withdrawal fee: 119
Symbol: GTC | Network: ETH | Withdrawal fee: 2.7
Symbol: PEN | Network: FIAT_MONEY | Withdrawal fee: 0
Symbol: SOLO | Network: BSC | Withdrawal fee: 0.58
Symbol: SXPDOWN | Network: ETF | Withdrawal fee: 0
Symbol: TMT | Network: FIAT_MONEY | Withdrawal fee: 0
Symbol: BURGER | Network: BSC | Withdrawal fee: 0.12
Symbol: BURGER | Network: BNB | Withdrawal fee: 0.24
Symbol: HOOK | Network: BSC | Withdrawal fee: 0.039
Symbol: CLP | Network: FIAT_MONEY | Withdrawal fee: 0
Symbol: WTC | Network: WTC | Withdrawal fee: 0.01
Symbol: WTC | Network: ETH | Withdrawal fee: 23
Symbol: XVG | Network: XVG | Withdrawal fee: 0.1
Symbol: EPS | Network: BSC | Withdrawal fee: 2.62
Symbol: TND | Network: FIAT_MONEY | Withdrawal fee: 0
Symbol: CLV | Network: BSC | Withdrawal fee: 1.15
Symbol: CLV | Network: ETH | Withdrawal fee: 73
Symbol: EPX | Network: BSC | Withdrawal fee: 253
Symbol: FLOW | Network: BSC | Withdrawal fee: 0.076
Symbol: FLOW | Network: FLOW | Withdrawal fee: 0.008
Symbol: XTZDOWN | Network: ETF | Withdrawal fee: 0
Symbol: XVS | Network: BSC | Withdrawal fee: 0.016
Symbol: STEEM | Network: STEEM | Withdrawal fee: 0.01
Symbol: SLP | Network: BSC | Withdrawal fee: 27
Symbol: SLP | Network: ETH | Withdrawal fee: 1736
Symbol: SLP | Network: RON | Withdrawal fee: 1
Symbol: VRT | Network: BSC | Withdrawal fee: 47
Symbol: ID | Network: BSC | Withdrawal fee: 1
Symbol: ID | Network: ETH | Withdrawal fee: 10
Symbol: DOP | Network: FIAT_MONEY | Withdrawal fee: 0
Symbol: LAZIO | Network: BSC | Withdrawal fee: 0.028
Symbol: DOT | Network: BSC | Withdrawal fee: 0.014
Symbol: DOT | Network: DOT | Withdrawal fee: 0.08
Symbol: DOT | Network: BNB | Withdrawal fee: 0.025
Symbol: IQ | Network: EOS | Withdrawal fee: 50
Symbol: IQ | Network: ETH | Withdrawal fee: 775
Symbol: GRTUP | Network: ETF | Withdrawal fee: 0
Symbol: 1INCH | Network: BSC | Withdrawal fee: 0.16
Symbol: 1INCH | Network: ETH | Withdrawal fee: 9.3
Symbol: KNCL | Network: ETH | Withdrawal fee: 6.46
Symbol: CHESS | Network: BSC | Withdrawal fee: 0.24
Symbol: DEGO | Network: BSC | Withdrawal fee: 12
Symbol: DEGO | Network: ETH | Withdrawal fee: 12
Symbol: GYEN | Network: ETH | Withdrawal fee: 658
Symbol: UNFI | Network: BSC | Withdrawal fee: 0.015
Symbol: UNFI | Network: ETH | Withdrawal fee: 0.98
Symbol: FTM | Network: BSC | Withdrawal fee: 0.2
Symbol: FTM | Network: FTM | Withdrawal fee: 0.3
Symbol: FTM | Network: BNB | Withdrawal fee: 0.32
Symbol: FTM | Network: ETH | Withdrawal fee: 9.94
Symbol: POWR | Network: ETH | Withdrawal fee: 25
Symbol: ERN | Network: ETH | Withdrawal fee: 2.03
Symbol: FTT | Network: ETH | Withdrawal fee: 2.08
Symbol: VOXEL | Network: MATIC | Withdrawal fee: 0.86
Symbol: PHA | Network: BSC | Withdrawal fee: 0.54
Symbol: PHA | Network: ETH | Withdrawal fee: 16
Symbol: RLC | Network: ETH | Withdrawal fee: 2.81
Symbol: PHB | Network: BSC | Withdrawal fee: 0.071
Symbol: TRXDOWN | Network: ETF | Withdrawal fee: 0
Symbol: ATOM | Network: BSC | Withdrawal fee: 0.0072
Symbol: ATOM | Network: ATOM | Withdrawal fee: 0.004
Symbol: ATOM | Network: BNB | Withdrawal fee: 0.014
Symbol: XRPUP | Network: ETF | Withdrawal fee: 0
Symbol: QUICK | Network: ETH | Withdrawal fee: 0.062
Symbol: QUICK | Network: MATIC | Withdrawal fee: 0.0028
Symbol: BLZ | Network: BSC | Withdrawal fee: 0.79
Symbol: BLZ | Network: ETH | Withdrawal fee: 58
Symbol: SNM | Network: BSC | Withdrawal fee: 0.11
Symbol: SNM | Network: ETH | Withdrawal fee: 6.86
Symbol: MBL | Network: BSC | Withdrawal fee: 23
Symbol: MBL | Network: ONT | Withdrawal fee: 3.72
Symbol: BNBUP | Network: ETF | Withdrawal fee: 0
Symbol: MTLX | Network: ETH | Withdrawal fee: 1.5
Symbol: SNT | Network: ETH | Withdrawal fee: 176
Symbol: PHP | Network: FIAT_MONEY | Withdrawal fee: 0
Symbol: SNX | Network: BSC | Withdrawal fee: 0.032
Symbol: SNX | Network: BNB | Withdrawal fee: 0.063
Symbol: SNX | Network: ETH | Withdrawal fee: 1.94
Symbol: SNX | Network: OPTIMISM | Withdrawal fee: 0.2
Symbol: LTCDOWN | Network: ETF | Withdrawal fee: 0
Symbol: FUN | Network: ETH | Withdrawal fee: 791
Symbol: COP | Network: FIAT_MONEY | Withdrawal fee: 0
Symbol: COS | Network: BSC | Withdrawal fee: 12
Symbol: COS | Network: BNB | Withdrawal fee: 22
Symbol: COS | Network: ETH | Withdrawal fee: 689
Symbol: API3 | Network: ETH | Withdrawal fee: 3.03
Symbol: USD | Network: FIAT_MONEY | Withdrawal fee: 0
Symbol: QKC | Network: BSC | Withdrawal fee: 7.95
Symbol: QKC | Network: ETH | Withdrawal fee: 447
Symbol: SUSHIUP | Network: ETF | Withdrawal fee: 0
Symbol: ROSE | Network: ROSE | Withdrawal fee: 0.1
Symbol: GLMR | Network: GLMR | Withdrawal fee: 0.01
Symbol: GLMR | Network: BSC | Withdrawal fee: 0.21
Symbol: SOL | Network: BSC | Withdrawal fee: 0.004
Symbol: SOL | Network: SOL | Withdrawal fee: 0.008
Symbol: ETB | Network: FIAT_MONEY | Withdrawal fee: 0
Symbol: TRXUP | Network: ETF | Withdrawal fee: 0
Symbol: CITY | Network: BSC | Withdrawal fee: 0.02
Symbol: CITY | Network: CHZ | Withdrawal fee: 0
Symbol: ETC | Network: BSC | Withdrawal fee: 0.0043
Symbol: ETC | Network: ETC | Withdrawal fee: 0.008
Symbol: ETC | Network: BNB | Withdrawal fee: 0.0073
Symbol: BNC | Network: BIFROSTKUSAMA | Withdrawal fee: 0.1
Symbol: BNB | Network: BSC | Withdrawal fee: 0.0005
Symbol: BNB | Network: BNB | Withdrawal fee: 0.0005
Symbol: BNB | Network: ETH | Withdrawal fee: 0
Symbol: CELR | Network: BSC | Withdrawal fee: 4.38
Symbol: CELR | Network: ETH | Withdrawal fee: 223
Symbol: OGN | Network: BSC | Withdrawal fee: 0.66
Symbol: OGN | Network: ETH | Withdrawal fee: 39
Symbol: LAK | Network: FIAT_MONEY | Withdrawal fee: 0
Symbol: ETH | Network: BSC | Withdrawal fee: 0.000056
Symbol: ETH | Network: ETH | Withdrawal fee: 0.0012
Symbol: ETH | Network: ARBITRUM | Withdrawal fee: 0.00035
Symbol: ETH | Network: BNB | Withdrawal fee: 0.000084
Symbol: ETH | Network: OPTIMISM | Withdrawal fee: 0.00035
Symbol: BND | Network: FIAT_MONEY | Withdrawal fee: 0
Symbol: NEO | Network: NEO | Withdrawal fee: 0
Symbol: NEO | Network: NEO3 | Withdrawal fee: 0
Symbol: TOMO | Network: TOMO | Withdrawal fee: 0.01
Symbol: TOMO | Network: BNB | Withdrawal fee: 0.24
Symbol: TOMO | Network: ETH | Withdrawal fee: 7.57
Symbol: CELO | Network: CELO | Withdrawal fee: 0.001
Symbol: KLAY | Network: KLAY | Withdrawal fee: 0.005
Symbol: AUCTION | Network: BSC | Withdrawal fee: 0.015
Symbol: AUCTION | Network: ETH | Withdrawal fee: 0.87
Symbol: BADGER | Network: ETH | Withdrawal fee: 1.74
Symbol: MULTI | Network: BSC | Withdrawal fee: 0.0086
Symbol: HIGH | Network: BSC | Withdrawal fee: 0.031
Symbol: HIGH | Network: ETH | Withdrawal fee: 2.32
Symbol: TRB | Network: ETH | Withdrawal fee: 0.33
Symbol: BNT | Network: BSC | Withdrawal fee: 0.19
Symbol: BNT | Network: ETH | Withdrawal fee: 9.42
Symbol: QLC | Network: NEO | Withdrawal fee: 1
Symbol: LBA | Network: BNB | Withdrawal fee: 10
Symbol: LBA | Network: ETH | Withdrawal fee: 10
Symbol: BNX | Network: BSC | Withdrawal fee: 0.082
Symbol: UTK | Network: ETH | Withdrawal fee: 45
Symbol: UTK | Network: EGLD | Withdrawal fee: 1
Symbol: WSOL | Network: SOL | Withdrawal fee: 0.01
Symbol: MA | Network: MA | Withdrawal fee: 0
Symbol: AMB | Network: AMB | Withdrawal fee: 1
Symbol: AMB | Network: ETH | Withdrawal fee: 352
Symbol: MC | Network: BSC | Withdrawal fee: 0.23
Symbol: MC | Network: ETH | Withdrawal fee: 15
Symbol: TRU | Network: BSC | Withdrawal fee: 1.31
Symbol: TRU | Network: ETH | Withdrawal fee: 70
Symbol: WBNB | Network: BSC | Withdrawal fee: 0.002
Symbol: AMD | Network: FIAT_MONEY | Withdrawal fee: 0
Symbol: DREP | Network: BSC | Withdrawal fee: 0.18
Symbol: DREP | Network: ETH | Withdrawal fee: 10
Symbol: TRY | Network: FIAT_MONEY | Withdrawal fee: 0
Symbol: TRX | Network: BSC | Withdrawal fee: 1.31
Symbol: TRX | Network: TRX | Withdrawal fee: 1
Symbol: TRX | Network: BNB | Withdrawal fee: 2.46
Symbol: MDT | Network: BSC | Withdrawal fee: 1.52
Symbol: MDT | Network: ETH | Withdrawal fee: 86
Symbol: NFT | Network: BSC | Withdrawal fee: 50000
Symbol: NFT | Network: TRX | Withdrawal fee: 30600
Symbol: MDX | Network: BSC | Withdrawal fee: 0.92
Symbol: XRPDOWN | Network: ETF | Withdrawal fee: 0
Symbol: AERGO | Network: ETH | Withdrawal fee: 34
Symbol: EUR | Network: FIAT_MONEY | Withdrawal fee: 0
Symbol: AMP | Network: ETH | Withdrawal fee: 1378
Symbol: HIFI | Network: ETH | Withdrawal fee: 11
Symbol: NULS | Network: BSC | Withdrawal fee: 0.32
Symbol: NULS | Network: NULS | Withdrawal fee: 0.01
Symbol: USTC | Network: LUNC | Withdrawal fee: 0.6
Symbol: RON | Network: FIAT_MONEY | Withdrawal fee: 0
Symbol: AUTO | Network: BSC | Withdrawal fee: 0.0003
Symbol: RDNTOLD | Network: ARBITRUM | Withdrawal fee: 0.1
Symbol: NGN | Network: FIAT_MONEY | Withdrawal fee: 0
Symbol: PKR | Network: FIAT_MONEY | Withdrawal fee: 0
Symbol: BDOT | Network: STAKING | Withdrawal fee: 0
Symbol: EGLD | Network: BSC | Withdrawal fee: 0.0019
Symbol: EGLD | Network: EGLD | Withdrawal fee: 0.0008
Symbol: SPELL | Network: AVAXC | Withdrawal fee: 50
Symbol: SPELL | Network: ETH | Withdrawal fee: 6531
Symbol: PUNDIX | Network: ETH | Withdrawal fee: 10
Symbol: FXS | Network: BSC | Withdrawal fee: 0.0084
Symbol: FXS | Network: ETH | Withdrawal fee: 0.58
Symbol: LOOKS | Network: BSC | Withdrawal fee: 0.49
Symbol: LOOKS | Network: ETH | Withdrawal fee: 34
Symbol: PLA | Network: ETH | Withdrawal fee: 8
Symbol: PLA | Network: MATIC | Withdrawal fee: 0.97
Symbol: EVX | Network: BSC | Withdrawal fee: 5.98
Symbol: EVX | Network: ETH | Withdrawal fee: 428
Symbol: CRV | Network: ETH | Withdrawal fee: 4.87
Symbol: BAKE | Network: BSC | Withdrawal fee: 0.37
Symbol: BAKE | Network: BNB | Withdrawal fee: 0.77
Symbol: ANT | Network: ETH | Withdrawal fee: 1.51
Symbol: FLUX | Network: BSC | Withdrawal fee: 0.11
Symbol: FLUX | Network: ETH | Withdrawal fee: 7.97
Symbol: LINKUP | Network: ETF | Withdrawal fee: 0
Symbol: RPL | Network: ETH | Withdrawal fee: 0.12
Symbol: SRM | Network: ETH | Withdrawal fee: 18
Symbol: SRM | Network: SOL | Withdrawal fee: 0.73
Symbol: TORN | Network: BSC | Withdrawal fee: 0.011
Symbol: TORN | Network: ETH | Withdrawal fee: 0.64
Symbol: PLN | Network: FIAT_MONEY | Withdrawal fee: 0
Symbol: MAGIC | Network: ARBITRUM | Withdrawal fee: 0.3
Symbol: LDO | Network: ETH | Withdrawal fee: 2.15
Symbol: QNT | Network: ETH | Withdrawal fee: 0.041
Symbol: ALICE | Network: BSC | Withdrawal fee: 0.047
Symbol: ALICE | Network: ETH | Withdrawal fee: 2.98
Symbol: OG | Network: BSC | Withdrawal fee: 0.02
Symbol: OG | Network: CHZ | Withdrawal fee: 0
Symbol: ETHW | Network: BNB | Withdrawal fee: 0.047
Symbol: ETHW | Network: BSC | Withdrawal fee: 0.024
Symbol: ETHW | Network: ETHW | Withdrawal fee: 0.05
Symbol: OM | Network: BSC | Withdrawal fee: 2.13
Symbol: OM | Network: ETH | Withdrawal fee: 135
Symbol: OP | Network: OPTIMISM | Withdrawal fee: 0.2
Symbol: BTTOLD | Network: BSC | Withdrawal fee: 400
Symbol: BTTOLD | Network: BNB | Withdrawal fee: 400
Symbol: BTTOLD | Network: TRX | Withdrawal fee: 400
Symbol: BETH | Network: BSC | Withdrawal fee: 0.000057
Symbol: WETH | Network: ETH | Withdrawal fee: 0.01
Symbol: WETH | Network: RON | Withdrawal fee: 0.001
Symbol: BETA | Network: BSC | Withdrawal fee: 0.87
Symbol: BETA | Network: ETH | Withdrawal fee: 53
Symbol: APE | Network: BSC | Withdrawal fee: 0.018
Symbol: APE | Network: ETH | Withdrawal fee: 1.12
Symbol: SSV | Network: ETH | Withdrawal fee: 0.15
Symbol: BUSD | Network: BSC | Withdrawal fee: 0.7
Symbol: BUSD | Network: AVAXC | Withdrawal fee: 0.8
Symbol: BUSD | Network: BNB | Withdrawal fee: 0.7
Symbol: BUSD | Network: ETH | Withdrawal fee: 4
Symbol: BUSD | Network: OPTIMISM | Withdrawal fee: 0.8
Symbol: BUSD | Network: MATIC | Withdrawal fee: 0.8
Symbol: BUSD | Network: TRX | Withdrawal fee: 1
Symbol: CTK | Network: BSC | Withdrawal fee: 0.11
Symbol: CTK | Network: CTK | Withdrawal fee: 0.01
Symbol: ARPA | Network: BSC | Withdrawal fee: 2.15
Symbol: ARPA | Network: BNB | Withdrawal fee: 3.62
Symbol: ARPA | Network: ETH | Withdrawal fee: 112
Symbol: DOTDOWN | Network: ETF | Withdrawal fee: 0
Symbol: BRL | Network: FIAT_MONEY | Withdrawal fee: 0
Symbol: ALCX | Network: ETH | Withdrawal fee: 0.25
Symbol: MATIC | Network: BSC | Withdrawal fee: 0.074
Symbol: MATIC | Network: MATIC | Withdrawal fee: 0.1
Symbol: MATIC | Network: BNB | Withdrawal fee: 0.15
Symbol: MATIC | Network: ETH | Withdrawal fee: 9.72
Symbol: APT | Network: APT | Withdrawal fee: 0.01
Symbol: STG | Network: AVAXC | Withdrawal fee: 2.5
Symbol: STG | Network: ARBITRUM | Withdrawal fee: 0.2
Symbol: STG | Network: BSC | Withdrawal fee: 0.085
Symbol: STG | Network: ETH | Withdrawal fee: 6.28
Symbol: STG | Network: FTM | Withdrawal fee: 2.5
Symbol: STG | Network: MATIC | Withdrawal fee: 0.28
Symbol: IOTX | Network: BSC | Withdrawal fee: 3.27
Symbol: IOTX | Network: IOTX | Withdrawal fee: 0.1
Symbol: IOTX | Network: BNB | Withdrawal fee: 5.67
Symbol: IOTX | Network: ETH | Withdrawal fee: 0
Symbol: SHIB | Network: BSC | Withdrawal fee: 7306
Symbol: SHIB | Network: ETH | Withdrawal fee: 454592
Symbol: TVK | Network: ETH | Withdrawal fee: 117
Symbol: FRONT | Network: BSC | Withdrawal fee: 0.37
Symbol: FRONT | Network: ETH | Withdrawal fee: 20
Symbol: KDA | Network: KDA | Withdrawal fee: 0
Symbol: KDA | Network: KDA2 | Withdrawal fee: 0.1
Symbol: ZAR | Network: FIAT_MONEY | Withdrawal fee: 0
Symbol: DOCK | Network: DOCK | Withdrawal fee: 5
Symbol: STX | Network: STX | Withdrawal fee: 1.5
Symbol: PNT | Network: BSC | Withdrawal fee: 0.37
Symbol: PNT | Network: ETH | Withdrawal fee: 23
Symbol: QI | Network: BSC | Withdrawal fee: 7.95
Symbol: QI | Network: AVAXC | Withdrawal fee: 5
Symbol: DENT | Network: ETH | Withdrawal fee: 4482
Symbol: MBOX | Network: BSC | Withdrawal fee: 0.17
Symbol: TWD | Network: FIAT_MONEY | Withdrawal fee: 0
Symbol: IOST | Network: IOST | Withdrawal fee: 1
Symbol: IOST | Network: ETH | Withdrawal fee: 447
Symbol: CAKE | Network: BSC | Withdrawal fee: 0.023
Symbol: CAKE | Network: BNB | Withdrawal fee: 0.044
Symbol: BSW | Network: BSC | Withdrawal fee: 0.42
Symbol: ETHUP | Network: ETF | Withdrawal fee: 0
Symbol: OMG | Network: ETH | Withdrawal fee: 3.45
Symbol: BAND | Network: BSC | Withdrawal fee: 0.045
Symbol: BAND | Network: BAND | Withdrawal fee: 0.01
