# use CTRL + F to search

Symbol: LOKI | Network: LOKI | Withdrawal fee: 2.0
Symbol: ORAI | Network: ORAI | Withdrawal fee: 0.1
Symbol: LTX | Network: ERC20 | Withdrawal fee: 22.0
Symbol: ZEE | Network: ERC20 | Withdrawal fee: 200.0
Symbol: MASK | Network: ERC20 | Withdrawal fee: 0.75
Symbol: IDEA | Network: ERC20 | Withdrawal fee: 500.0
Symbol: PHA | Network: ERC20 | Withdrawal fee: 40.0
Symbol: SRK | Network: ERC20 | Withdrawal fee: 18000.0
Symbol: SWINGBY | Network: BSC | Withdrawal fee: 200.0
Symbol: AVAX | Network: AVAX | Withdrawal fee: 0.01
Symbol: KRL | Network: ERC20 | Withdrawal fee: 20.0
Symbol: POLK | Network: ERC20 | Withdrawal fee: 125.0
Symbol: RNDR | Network: ERC20 | Withdrawal fee: 5.0
Symbol: RLY | Network: ERC20 | Withdrawal fee: 325.0
Symbol: SKEY | Network: ERC20 | Withdrawal fee: 300.0
Symbol: LAYER | Network: ERC20 | Withdrawal fee: 55.0
Symbol: XYM | Network: XYM | Withdrawal fee: 10.0
Symbol: DYP | Network: ERC20 | Withdrawal fee: 20.0
Symbol: PCX | Network: PCX | Withdrawal fee: 0.1
Symbol: ORBS | Network: ERC20 | Withdrawal fee: 175.0
Symbol: DSLA | Network: ERC20 | Withdrawal fee: 2000.0
Symbol: FLUX | Network: FLUX | Withdrawal fee: 1.0
Symbol: SAND | Network: ERC20 | Withdrawal fee: 10.0
Symbol: XCUR | Network: ERC20 | Withdrawal fee: 95.0
Symbol: VAIOT | Network: ERC20 | Withdrawal fee: 45.0
Symbol: DODO | Network: ERC20 | Withdrawal fee: 30.0
Symbol: PUNDIX | Network: ERC20 | Withdrawal fee: 12.0
Symbol: BOSON | Network: ERC20 | Withdrawal fee: 25.0
Symbol: HT | Network: HRC20 | Withdrawal fee: 0.1
Symbol: PDEX | Network: ERC20 | Withdrawal fee: 4.0
Symbol: LABS | Network: BSC | Withdrawal fee: 600.0
Symbol: STRK | Network: ERC20 | Withdrawal fee: 0.35
Symbol: PHNX | Network: ERC20 | Withdrawal fee: 400.0
Symbol: HAI | Network: VET | Withdrawal fee: 5.0
Symbol: EQZ | Network: ERC20 | Withdrawal fee: 150.0
Symbol: FORTH | Network: ERC20 | Withdrawal fee: 1.5
Symbol: HORD | Network: ERC20 | Withdrawal fee: 60.0
Symbol: CGG | Network: ERC20 | Withdrawal fee: 75.0
Symbol: GHX | Network: ERC20 | Withdrawal fee: 600.0
Symbol: TCP | Network: ERC20 | Withdrawal fee: 1500.0
Symbol: TOWER | Network: ERC20 | Withdrawal fee: 1500.0
Symbol: ACE | Network: ERC20 | Withdrawal fee: 600.0
Symbol: STND | Network: ERC20 | Withdrawal fee: 175.0
Symbol: LOCG | Network: ERC20 | Withdrawal fee: 300.0
Symbol: FLY | Network: ERC20 | Withdrawal fee: 4000.0
Symbol: CARD | Network: ERC20 | Withdrawal fee: 6000.0
Symbol: XDC | Network: XDC | Withdrawal fee: 2.0
Symbol: CWS | Network: BSC | Withdrawal fee: 2.0
Symbol: FCL | Network: ERC20 | Withdrawal fee: 200.0
Symbol: SHIB | Network: ERC20 | Withdrawal fee: 500000.0
Symbol: POLX | Network: MATIC | Withdrawal fee: 5000.0
Symbol: KDA | Network: KDA0 | Withdrawal fee: 0.5
Symbol: GOVI | Network: ERC20 | Withdrawal fee: 12.5
Symbol: ICP | Network: ICP | Withdrawal fee: 0.0005
Symbol: CELO | Network: CELO | Withdrawal fee: 0.1
Symbol: CUSD | Network: CELO | Withdrawal fee: 0.1
Symbol: STC | Network: ERC20 | Withdrawal fee: 1500.0
Symbol: MATIC | Network: ERC20 | Withdrawal fee: 6.0
Symbol: OGN | Network: ERC20 | Withdrawal fee: 50.0
Symbol: OUSD | Network: ERC20 | Withdrawal fee: 20.0
Symbol: YOP | Network: ERC20 | Withdrawal fee: 200.0
Symbol: MXC | Network: ERC20 | Withdrawal fee: 220.0
Symbol: ERSDL | Network: ERC20 | Withdrawal fee: 1000.0
Symbol: HOTCROSS | Network: BSC | Withdrawal fee: 50.0
Symbol: HYVE | Network: ERC20 | Withdrawal fee: 85.0
Symbol: DAPPX | Network: ERC20 | Withdrawal fee: 2500.0
Symbol: FEAR | Network: ERC20 | Withdrawal fee: 40.0
Symbol: KONO | Network: ERC20 | Withdrawal fee: 200.0
Symbol: MAHA | Network: ERC20 | Withdrawal fee: 7.0
Symbol: UNO | Network: ERC20 | Withdrawal fee: 100.0
Symbol: PRQ | Network: ERC20 | Withdrawal fee: 50.0
Symbol: PYR | Network: ERC20 | Withdrawal fee: 2.0
Symbol: GLCH | Network: ERC20 | Withdrawal fee: 60.0
Symbol: XCAD | Network: ERC20 | Withdrawal fee: 3.0
Symbol: PROM | Network: ERC20 | Withdrawal fee: 1.0
Symbol: ELON | Network: ERC20 | Withdrawal fee: 15000000.0
Symbol: APL | Network: APL | Withdrawal fee: 150.0
Symbol: DIVI | Network: DIVI | Withdrawal fee: 5.0
Symbol: VEED | Network: VET | Withdrawal fee: 10.0
Symbol: LSS | Network: ERC20 | Withdrawal fee: 35.0
Symbol: JUP | Network: JUP | Withdrawal fee: 50.0
Symbol: AGIX | Network: ERC20 | Withdrawal fee: 15.0
Symbol: DORA | Network: ERC20 | Withdrawal fee: 0.75
Symbol: LPOOL | Network: ERC20 | Withdrawal fee: 30.0
Symbol: ETHO | Network: ERC20 | Withdrawal fee: 200.0
Symbol: POLS | Network: ERC20 | Withdrawal fee: 15.0
Symbol: KOK | Network: ERC20 | Withdrawal fee: 85.0
Symbol: ABBC | Network: ABBC | Withdrawal fee: 5.0
Symbol: ZCX | Network: ERC20 | Withdrawal fee: 75.0
Symbol: ROSN | Network: BSC | Withdrawal fee: 6.5
Symbol: NORD | Network: ERC20 | Withdrawal fee: 25.0
Symbol: GMEE | Network: ERC20 | Withdrawal fee: 550.0
Symbol: XAVA | Network: AVAX C-Chain | Withdrawal fee: 1.0
Symbol: AI | Network: ERC20 | Withdrawal fee: 3750.0
Symbol: SFUND | Network: BSC | Withdrawal fee: 0.75
Symbol: IOI | Network: ERC20 | Withdrawal fee: 35.0
Symbol: ALPACA | Network: BSC | Withdrawal fee: 1.0
Symbol: NFT | Network: TRC20 | Withdrawal fee: 200000.0
Symbol: MNST | Network: BSC | Withdrawal fee: 100.0
Symbol: MEM | Network: ERC20 | Withdrawal fee: 200.0
Symbol: DLTA | Network: ERC20 | Withdrawal fee: 500.0
Symbol: AIOZ | Network: BSC | Withdrawal fee: 15.0
Symbol: MARSH | Network: BSC | Withdrawal fee: 5.0
Symbol: CQT | Network: ERC20 | Withdrawal fee: 40.0
Symbol: HAPI | Network: ERC20 | Withdrawal fee: 0.45
Symbol: GENS | Network: BSC | Withdrawal fee: 250.0
Symbol: YFDAI | Network: ERC20 | Withdrawal fee: 0.02
Symbol: FORM | Network: ERC20 | Withdrawal fee: 2000.0
Symbol: MODEFI | Network: ERC20 | Withdrawal fee: 20.0
Symbol: ARRR | Network: ARRR | Withdrawal fee: 2.0
Symbol: SPHRI | Network: ERC20 | Withdrawal fee: 70.0
Symbol: CEUR | Network: CELO | Withdrawal fee: 0.3
Symbol: ASD | Network: ERC20 | Withdrawal fee: 125.0
Symbol: NGM | Network: ERC20 | Withdrawal fee: 150.0
Symbol: LPT | Network: ERC20 | Withdrawal fee: 0.75
Symbol: STMX | Network: ERC20 | Withdrawal fee: 500.0
Symbol: BOND | Network: ERC20 | Withdrawal fee: 1.25
Symbol: 2CRZ | Network: ERC20 | Withdrawal fee: 3500.0
Symbol: SHFT | Network: ERC20 | Withdrawal fee: 600.0
Symbol: NEAR | Network: NEAR | Withdrawal fee: 0.01
Symbol: OOE | Network: ERC20 | Withdrawal fee: 200.0
Symbol: DFYN | Network: ERC20 | Withdrawal fee: 120.0
Symbol: CFG | Network: CFG | Withdrawal fee: 2.0
Symbol: AXC | Network: ERC20 | Withdrawal fee: 2.0
Symbol: AXS | Network: ERC20 | Withdrawal fee: 0.6
Symbol: CLV | Network: ERC20 | Withdrawal fee: 90.0
Symbol: ROUTE | Network: ERC20 | Withdrawal fee: 3.0
Symbol: KAR | Network: KAR | Withdrawal fee: 0.1
Symbol: BURP | Network: ERC20 | Withdrawal fee: 2000.0
Symbol: PMON | Network: ERC20 | Withdrawal fee: 7.5
Symbol: ERG | Network: ERGO | Withdrawal fee: 0.1
Symbol: LITH | Network: ERC20 | Withdrawal fee: 5000.0
Symbol: SOL | Network: SOL | Withdrawal fee: 0.01
Symbol: SLP | Network: ERC20 | Withdrawal fee: 2000.0
Symbol: XCH | Network: XCH | Withdrawal fee: 0.011
Symbol: HAKA | Network: ERC20 | Withdrawal fee: 350.0
Symbol: MTL | Network: ERC20 | Withdrawal fee: 6.0
Symbol: GALAX | Network: ERC20 | Withdrawal fee: 140.0
Symbol: CIRUS | Network: ERC20 | Withdrawal fee: 70.0
Symbol: TXA | Network: ERC20 | Withdrawal fee: 10.0
Symbol: QI | Network: AVAX C-Chain | Withdrawal fee: 5.0
Symbol: ODDZ | Network: BSC | Withdrawal fee: 30.0
Symbol: PNT | Network: ERC20 | Withdrawal fee: 35.0
Symbol: XPR | Network: XPR | Withdrawal fee: 10.0
Symbol: TRIBE | Network: ERC20 | Withdrawal fee: 20.0
Symbol: MOVR | Network: MOVR | Withdrawal fee: 0.1
Symbol: MAKI | Network: HRC20 | Withdrawal fee: 20.0
Symbol: QRDO | Network: ERC20 | Withdrawal fee: 45.0
Symbol: WOO | Network: ERC20 | Withdrawal fee: 35.0
Symbol: WILD | Network: ERC20 | Withdrawal fee: 20.0
Symbol: SDN | Network: SDN | Withdrawal fee: 0.5
Symbol: REP | Network: ERC20 | Withdrawal fee: 0.55
Symbol: BNT | Network: ERC20 | Withdrawal fee: 5.0
Symbol: OXT | Network: ERC20 | Withdrawal fee: 60.0
Symbol: STORJ | Network: ERC20 | Withdrawal fee: 16.0
Symbol: YGG | Network: ERC20 | Withdrawal fee: 20.0
Symbol: NDAU | Network: NDAU | Withdrawal fee: 0.8
Symbol: SDAO | Network: ERC20 | Withdrawal fee: 12.0
Symbol: SKL | Network: ERC20 | Withdrawal fee: 300.0
Symbol: NMR | Network: ERC20 | Withdrawal fee: 0.4
Symbol: TRB | Network: ERC20 | Withdrawal fee: 0.8
Symbol: IXS | Network: ERC20 | Withdrawal fee: 150.0
Symbol: PBX | Network: ERC20 | Withdrawal fee: 3750.0
Symbol: GTC | Network: ERC20 | Withdrawal fee: 3.0
Symbol: DYDX | Network: ERC20 | Withdrawal fee: 7.5
Symbol: EQX | Network: ERC20 | Withdrawal fee: 700.0
Symbol: RLC | Network: ERC20 | Withdrawal fee: 3.5
Symbol: XNL | Network: ERC20 | Withdrawal fee: 250.0
Symbol: HBAR | Network: HBAR | Withdrawal fee: 3.0
Symbol: XPRT | Network: XPRT | Withdrawal fee: 0.5
Symbol: EGLD | Network: EGLD | Withdrawal fee: 0.005
Symbol: FLOW | Network: FLOW | Withdrawal fee: 0.05
Symbol: NKN | Network: ERC20 | Withdrawal fee: 50.0
Symbol: MLN | Network: ERC20 | Withdrawal fee: 0.25
Symbol: WNCG | Network: ERC20 | Withdrawal fee: 20.0
Symbol: DMTR | Network: ERC20 | Withdrawal fee: 150.0
Symbol: CTSI | Network: ERC20 | Withdrawal fee: 35.0
Symbol: ALICE | Network: ERC20 | Withdrawal fee: 3.75
Symbol: OPUL | Network: ERC20 | Withdrawal fee: 30.0
Symbol: ILV | Network: ERC20 | Withdrawal fee: 0.1
Symbol: BAND | Network: BAND | Withdrawal fee: 0.2
Symbol: FTT | Network: ERC20 | Withdrawal fee: 3.0
Symbol: DVPN | Network: DVPN | Withdrawal fee: 100.0
Symbol: SKU | Network: ERC20 | Withdrawal fee: 650.0
Symbol: SLIM | Network: SOL | Withdrawal fee: 6.5
Symbol: EDG | Network: EDG | Withdrawal fee: 100.0
Symbol: DEXE | Network: BSC | Withdrawal fee: 0.35
Symbol: TLM | Network: BSC | Withdrawal fee: 40.0
Symbol: RMRK | Network: Statemine | Withdrawal fee: 0.2
Symbol: RUNE | Network: RUNE | Withdrawal fee: 0.05
Symbol: MATTER | Network: ERC20 | Withdrawal fee: 70.0
Symbol: SOV | Network: RBTC | Withdrawal fee: 1.0
Symbol: BMON | Network: BSC | Withdrawal fee: 25.0
Symbol: BLOK | Network: MATIC | Withdrawal fee: 200.0
Symbol: SOLR | Network: SOL | Withdrawal fee: 9.5
Symbol: PUSH | Network: ERC20 | Withdrawal fee: 17.5
Symbol: WSIENNA | Network: ERC20 | Withdrawal fee: 12.5
Symbol: NTVRK | Network: ERC20 | Withdrawal fee: 45.0
Symbol: YLD | Network: ERC20 | Withdrawal fee: 50.0
Symbol: FLAME | Network: MATIC | Withdrawal fee: 10.0
Symbol: AGLD | Network: ERC20 | Withdrawal fee: 12.0
Symbol: NAKA | Network: MATIC | Withdrawal fee: 3.0
Symbol: REEF | Network: BSC | Withdrawal fee: 150.0
Symbol: TIDAL | Network: ERC20 | Withdrawal fee: 15000.0
Symbol: TVK | Network: ERC20 | Withdrawal fee: 125.0
Symbol: INJ | Network: BSC | Withdrawal fee: 0.15
Symbol: NFTB | Network: BSC | Withdrawal fee: 25.0
Symbol: ALPHA | Network: BSC | Withdrawal fee: 7.0
Symbol: BADGER | Network: ERC20 | Withdrawal fee: 1.0
Symbol: VEGA | Network: ERC20 | Withdrawal fee: 5.0
Symbol: ZKT | Network: ERC20 | Withdrawal fee: 6.0
Symbol: AR | Network: AR | Withdrawal fee: 0.02
Symbol: XVS | Network: BSC | Withdrawal fee: 0.05
Symbol: GHST | Network: ERC20 | Withdrawal fee: 5.0
Symbol: PERP | Network: ERC20 | Withdrawal fee: 7.5
Symbol: SCLP | Network: BSC | Withdrawal fee: 1.0
Symbol: JASMY | Network: ERC20 | Withdrawal fee: 1000.0
Symbol: CPOOL | Network: ERC20 | Withdrawal fee: 145.0
Symbol: LTO | Network: ERC20 | Withdrawal fee: 60.0
Symbol: SUPER | Network: BSC | Withdrawal fee: 6.0
Symbol: BASIC | Network: ERC20 | Withdrawal fee: 5000.0
Symbol: AURY | Network: SOL | Withdrawal fee: 0.5
Symbol: HERO | Network: BSC | Withdrawal fee: 125.0
Symbol: XED | Network: ERC20 | Withdrawal fee: 70.0
Symbol: SWASH | Network: ERC20 | Withdrawal fee: 300.0
Symbol: DREAMS | Network: BSC | Withdrawal fee: 125.0
Symbol: MTRG | Network: BSC | Withdrawal fee: 0.3
Symbol: QUICK | Network: ERC20 | Withdrawal fee: 0.075
Symbol: TRU | Network: ERC20 | Withdrawal fee: 65.0
Symbol: WRX | Network: BEP2 | Withdrawal fee: 1.0
Symbol: TKO | Network: BSC | Withdrawal fee: 1.0
Symbol: DATA | Network: ERC20 | Withdrawal fee: 200.0
Symbol: ISP | Network: ERC20 | Withdrawal fee: 5000.0
Symbol: CERE | Network: ERC20 | Withdrawal fee: 900.0
Symbol: SHILL | Network: BSC | Withdrawal fee: 15.0
Symbol: HEGIC | Network: ERC20 | Withdrawal fee: 240.0
Symbol: ERN | Network: ERC20 | Withdrawal fee: 2.0
Symbol: PAXG | Network: ERC20 | Withdrawal fee: 0.006
Symbol: AUDIO | Network: ERC20 | Withdrawal fee: 24.0
Symbol: FTG | Network: ERC20 | Withdrawal fee: 1750.0
Symbol: XTM | Network: ERC20 | Withdrawal fee: 200.0
Symbol: ENS | Network: ERC20 | Withdrawal fee: 0.5
Symbol: ATA | Network: ERC20 | Withdrawal fee: 40.0
Symbol: FXS | Network: ERC20 | Withdrawal fee: 1.5
Symbol: MNW | Network: ERC20 | Withdrawal fee: 3.0
Symbol: CWAR | Network: SOL | Withdrawal fee: 19.0
Symbol: VXV | Network: ERC20 | Withdrawal fee: 10.0
Symbol: DPR | Network: BSC | Withdrawal fee: 30.0
Symbol: SWP | Network: KAVA | Withdrawal fee: 0.5
Symbol: PBR | Network: ERC20 | Withdrawal fee: 45.0
Symbol: WNXM | Network: ERC20 | Withdrawal fee: 0.15
Symbol: ANT | Network: ERC20 | Withdrawal fee: 2.0
Symbol: ADX | Network: ERC20 | Withdrawal fee: 30.0
Symbol: TWT | Network: BSC | Withdrawal fee: 0.3
Symbol: GLM | Network: ERC20 | Withdrawal fee: 20.0
Symbol: NUM | Network: BSC | Withdrawal fee: 7.0
Symbol: BAKE | Network: BSC | Withdrawal fee: 1.0
Symbol: MONI | Network: BSC | Withdrawal fee: 9.5
Symbol: TRADE | Network: MATIC | Withdrawal fee: 5.0
Symbol: VLX | Network: VLX | Withdrawal fee: 10.0
Symbol: 1EARTH | Network: ERC20 | Withdrawal fee: 1500.0
Symbol: KAVA | Network: KAVA | Withdrawal fee: 0.3
Symbol: LIKE | Network: SOL | Withdrawal fee: 50.0
Symbol: LIT | Network: ERC20 | Withdrawal fee: 5.0
Symbol: SFP | Network: BSC | Withdrawal fee: 1.0
Symbol: BURGER | Network: BSC | Withdrawal fee: 0.7
Symbol: ILA | Network: BSC | Withdrawal fee: 75.0
Symbol: CREAM | Network: BSC | Withdrawal fee: 0.07
Symbol: RSR | Network: ERC20 | Withdrawal fee: 1450.0
Symbol: GODS | Network: ERC20 | Withdrawal fee: 24.0
Symbol: IMX | Network: ERC20 | Withdrawal fee: 5.0
Symbol: KMA | Network: KMA | Withdrawal fee: 20.0
Symbol: SRM | Network: SOL | Withdrawal fee: 0.9
Symbol: POLC | Network: BSC | Withdrawal fee: 12.5
Symbol: XTAG | Network: SOL | Withdrawal fee: 9.0
Symbol: VR | Network: ERC20 | Withdrawal fee: 650.0
Symbol: MNET | Network: ERC20 | Withdrawal fee: 5000.0
Symbol: NGC | Network: ERC20 | Withdrawal fee: 45.0
Symbol: HARD | Network: KAVA | Withdrawal fee: 1.0
Symbol: UNIC | Network: ERC20 | Withdrawal fee: 1.5
Symbol: POND | Network: ERC20 | Withdrawal fee: 500.0
Symbol: EPIK | Network: ERC20 | Withdrawal fee: 600.0
Symbol: NGL | Network: ERC20 | Withdrawal fee: 25.0
Symbol: KDON | Network: ERC20 | Withdrawal fee: 450.0
Symbol: PEL | Network: BSC | Withdrawal fee: 25.0
Symbol: KLAY | Network: KLAY | Withdrawal fee: 0.5
Symbol: LINA | Network: ERC20 | Withdrawal fee: 750.0
Symbol: CREDI | Network: ERC20 | Withdrawal fee: 750.0
Symbol: TRVL | Network: ERC20 | Withdrawal fee: 95.0
Symbol: ARKER | Network: BSC | Withdrawal fee: 175.0
Symbol: XEC | Network: XEC | Withdrawal fee: 5000.0
