# use CTRL + F to search

Symbol: AGLD | Network: ERC20 | Withdrawal fee: 10.0
Symbol: STR | Network: SOL | Withdrawal fee: 0.0
Symbol: CNCB | Network: ERC20 | Withdrawal fee: 10000.0
Symbol: STX | Network: STACKS | Withdrawal fee: 1.5
Symbol: RING | Network: ERC20 | Withdrawal fee: 1620.0
Symbol: OLV | Network: KLAY | Withdrawal fee: 0.0
Symbol: SDAO | Network: ERC20 | Withdrawal fee: 14.0
Symbol: FLXTOKEN | Network: ERC20 | Withdrawal fee: 212.0
Symbol: PPAY | Network: ERC20 | Withdrawal fee: 0.0
Symbol: SONNE | Network: OP | Withdrawal fee: 1.0
Symbol: BSV | Network: BSV | Withdrawal fee: 0.001
Symbol: IOST | Network: IOST | Withdrawal fee: 5.0
Symbol: OME | Network: ERC20 | Withdrawal fee: 100.0
Symbol: CVTX | Network: MATIC | Withdrawal fee: 10.0
Symbol: OMG | Network: ERC20 | Withdrawal fee: 3.88
Symbol: DUNE | Network: ERC20 | Withdrawal fee: 0.0
Symbol: SUN | Network: TRC20 | Withdrawal fee: 70.0
Symbol: BOIN | Network: ERC20 | Withdrawal fee: 0.0
Symbol: SUP | Network: BTM2 | Withdrawal fee: 0.017
Symbol: KEK | Network: KEKCHAIN | Withdrawal fee: 700.0
Symbol: BTC | Network: BTC | Withdrawal fee: 0.0003
Symbol: BTC | Network: TRC20 | Withdrawal fee: 0.0001
Symbol: IOTA | Network: IOTA | Withdrawal fee: 0.5
Symbol: REEF | Network: ERC20 | Withdrawal fee: 1501.0
Symbol: BTM | Network: BTM2 | Withdrawal fee: 10.0
Symbol: BBOS | Network: ERC20 | Withdrawal fee: 0.0
Symbol: OMX | Network: ERC20 | Withdrawal fee: 0.0
Symbol: BTO | Network: ERC20 | Withdrawal fee: 0.0
Symbol: POLYPAD | Network: MATIC | Withdrawal fee: 0.0
Symbol: KEY | Network: ERC20 | Withdrawal fee: 0.0
Symbol: KIBA | Network: ERC20 | Withdrawal fee: 3645560.0
Symbol: KEX | Network: ERC20 | Withdrawal fee: 0.0
Symbol: BTS | Network: BTS | Withdrawal fee: 2.0
Symbol: BTR | Network: ERC20 | Withdrawal fee: 0.0
Symbol: BTU | Network: ERC20 | Withdrawal fee: 0.0
Symbol: BTT | Network: TRC20 | Withdrawal fee: 500000.0
Symbol: MOJO | Network: APTOS | Withdrawal fee: 0.0
Symbol: ONC | Network: ERC20 | Withdrawal fee: 0.0
Symbol: ONE | Network: ONE | Withdrawal fee: 1.0
Symbol: FAYRE | Network: ERC20 | Withdrawal fee: 709.0
Symbol: KFC | Network: ERC20 | Withdrawal fee: 0.5
Symbol: ONG | Network: ONT | Withdrawal fee: 1.0
Symbol: SUDO | Network: ERC20 | Withdrawal fee: 7.0
Symbol: ALGO | Network: ALGO | Withdrawal fee: 0.1
Symbol: SVT | Network: SOL | Withdrawal fee: 85.0
Symbol: HLTC | Network: HECO | Withdrawal fee: 0.001
Symbol: NETT | Network: METIS | Withdrawal fee: 0.7
Symbol: COMBO3 | Network: ERC20 | Withdrawal fee: 1.0
Symbol: ONT | Network: ONT | Withdrawal fee: 1.0
Symbol: ONS | Network: ERC20 | Withdrawal fee: 0.0
Symbol: ONX | Network: ERC20 | Withdrawal fee: 55.0
Symbol: BUP | Network: MATIC | Withdrawal fee: 3.0
Symbol: REI1 | Network: ERC20 | Withdrawal fee: 0.0
Symbol: OOE | Network: ERC20 | Withdrawal fee: 253.0
Symbol: SHIT | Network: ERC20 | Withdrawal fee: 542913461.0
Symbol: BUY | Network: ERC20 | Withdrawal fee: 150.0
Symbol: ASMOLD | Network: ERC20 | Withdrawal fee: 0.0
Symbol: SWP | Network: KAVA | Withdrawal fee: 0.1
Symbol: NAKA | Network: MATIC | Withdrawal fee: 1.6
Symbol: ARTFINITY | Network: ERC20 | Withdrawal fee: 0.0
Symbol: BVB | Network: ERC20 | Withdrawal fee: 40.0
Symbol: LEASH | Network: ERC20 | Withdrawal fee: 0.0
Symbol: NAKI | Network: NONE | Withdrawal fee: 1.0
Symbol: GRAP | Network: ERC20 | Withdrawal fee: 0.0
Symbol: SLRS | Network: SOL | Withdrawal fee: 0.0
Symbol: NEST | Network: ERC20 | Withdrawal fee: 140.0
Symbol: HOSKY | Network: ADA | Withdrawal fee: 188000000.0
Symbol: ALIX | Network: ERC20 | Withdrawal fee: 0.0
Symbol: DUSK | Network: ERC20 | Withdrawal fee: 32.0
Symbol: SXP | Network: SXP | Withdrawal fee: 1.0
Symbol: CAND | Network: SGB | Withdrawal fee: 0.1
Symbol: WSIENNA | Network: ERC20 | Withdrawal fee: 10.0
Symbol: BONDLY | Network: ERC20 | Withdrawal fee: 0.0
Symbol: OPP | Network: ERC20 | Withdrawal fee: 82.0
Symbol: ZURR | Network: ERC20 | Withdrawal fee: 4.01
Symbol: DUST | Network: SOL | Withdrawal fee: 0.0
Symbol: CHAMP1 | Network: MATIC | Withdrawal fee: 8.0
Symbol: BREED | Network: ERC20 | Withdrawal fee: 0.0
Symbol: ZENITH | Network: ZENITH | Withdrawal fee: 0.1
Symbol: CAMO | Network: ERC20 | Withdrawal fee: 0.0
Symbol: VIDY | Network: ERC20 | Withdrawal fee: 100000.0
Symbol: SHELL | Network: ERC20 | Withdrawal fee: 0.0
Symbol: C98 | Network: ERC20 | Withdrawal fee: 33.0
Symbol: NSTEPN | Network: NONE | Withdrawal fee: 1.0
Symbol: SYN | Network: ERC20 | Withdrawal fee: 9.0
Symbol: SYN | Network: AVAX_CCHAIN | Withdrawal fee: 1.0
Symbol: SYN | Network: NONE | Withdrawal fee: 0.0
Symbol: BXA | Network: ERC20 | Withdrawal fee: 0.0
Symbol: SYP | Network: SOL | Withdrawal fee: 750.0
Symbol: SYS | Network: SYS | Withdrawal fee: 1.0
Symbol: CRPT | Network: ERC20 | Withdrawal fee: 32.0
Symbol: GSTERC | Network: ERC20 | Withdrawal fee: 0.0
Symbol: KIN | Network: SOL | Withdrawal fee: 261000.0
Symbol: KIP | Network: ERC20 | Withdrawal fee: 0.0
Symbol: GAL | Network: ERC20 | Withdrawal fee: 2.96
Symbol: TOWN | Network: ERC20 | Withdrawal fee: 280.0
Symbol: GASDAO | Network: ERC20 | Withdrawal fee: 5572626.0
Symbol: XCH | Network: CHIA | Withdrawal fee: 0.0005
Symbol: COVEROLD | Network: ERC20 | Withdrawal fee: 0.0
Symbol: ORB | Network: MATIC | Withdrawal fee: 0.0
Symbol: ORD | Network: ERC20 | Withdrawal fee: 670000.0
Symbol: ORC | Network: ERC20 | Withdrawal fee: 0.0
Symbol: XCN | Network: ERC20 | Withdrawal fee: 1030.0
Symbol: RACY | Network: ERC20 | Withdrawal fee: 0.0
Symbol: BXX | Network: ERC20 | Withdrawal fee: 170.0
Symbol: ORE | Network: ERC20 | Withdrawal fee: 210.0
Symbol: NEXA | Network: NEXA | Withdrawal fee: 150.0
Symbol: MELOS | Network: ERC20 | Withdrawal fee: 676.0
