# use CTRL + F to search

Symbol: USDT | Network: ALGO | Withdrawal fee: 0.001
Symbol: CVC | Network: ERC20 | Withdrawal fee: 51.23418058
Symbol: MCO | Network: ERC20 | Withdrawal fee: 1.84638109
Symbol: MTL | Network: ERC20 | Withdrawal fee: 4.48778602
Symbol: RDN | Network: ERC20 | Withdrawal fee: 17.8236465
Symbol: STORJ | Network: HRC20 | Withdrawal fee: 0.0835995
Symbol: STORJ | Network: ERC20 | Withdrawal fee: 14.39644708
Symbol: CHAT | Network: ERC20 | Withdrawal fee: 8167.64860932
Symbol: LINK | Network: HRC20LINK | Withdrawal fee: 0.00453299
Symbol: LINK | Network: ERC20 | Withdrawal fee: 0.78009178
Symbol: SRN | Network: ERC20 | Withdrawal fee: 2339.70025479
Symbol: ACT | Network: ACT | Withdrawal fee: 0.01
Symbol: TNB | Network: ERC20 | Withdrawal fee: 20061.52673848
Symbol: QSP | Network: ERC20 | Withdrawal fee: 357.78616186
Symbol: REQ | Network: ERC20 | Withdrawal fee: 53.07442995
Symbol: APPC | Network: ERC20 | Withdrawal fee: 4157.11785895
Symbol: RCN | Network: ERC20 | Withdrawal fee: 3199.81437661
Symbol: SMT | Network: SMT | Withdrawal fee: 7.0
Symbol: ADX | Network: ERC20 | Withdrawal fee: 29.81767916
Symbol: TNT | Network: ERC20 | Withdrawal fee: 532.29144767
Symbol: OST | Network: ERC20 | Withdrawal fee: 1193.13618765
Symbol: ITC | Network: MATIC | Withdrawal fee: 77.002
Symbol: LUN | Network: ERC20 | Withdrawal fee: 50.42192653
Symbol: GNX | Network: ERC20 | Withdrawal fee: 4855.56247842
Symbol: AST | Network: ERC20 | Withdrawal fee: 46.0125
Symbol: AST | Network: HRC20 | Withdrawal fee: 0.4466
Symbol: EVX | Network: ERC20 | Withdrawal fee: 285.2443
Symbol: MDS | Network: ERC20 | Withdrawal fee: 29036.32604855
Symbol: SNC | Network: ERC20 | Withdrawal fee: 159.33862922
Symbol: PROPY | Network: ERC20 | Withdrawal fee: 26.13817687
Symbol: EKO | Network: ERC20 | Withdrawal fee: 72432.84884747
Symbol: NAS | Network: NAS | Withdrawal fee: 0.1
Symbol: BCD | Network: BCD | Withdrawal fee: 0.01
Symbol: WAXP | Network: ERC20 | Withdrawal fee: 77.33876726
Symbol: WAXP | Network: WAX1 | Withdrawal fee: 1.5
Symbol: WICC | Network: WICC | Withdrawal fee: 1.0
Symbol: TOPC | Network: ERC20 | Withdrawal fee: 10472.651706
Symbol: SWFTC | Network: HRC20 | Withdrawal fee: 27.96027121
Symbol: SWFTC | Network: ERC20 | Withdrawal fee: 4810.13893633
Symbol: DBC | Network: BEP20 | Withdrawal fee: 31.06287026
Symbol: DBC | Network: DBC1 | Withdrawal fee: 20.0
Symbol: DBC | Network: ERC20DBC | Withdrawal fee: 1176.58241424
Symbol: ELF | Network: ELF | Withdrawal fee: 1.0
Symbol: AIDOC | Network: ERC20 | Withdrawal fee: 389066.16814926
Symbol: MONFTER | Network: ERC20 | Withdrawal fee: 6490.26812384
Symbol: IOST | Network: ERC20 | Withdrawal fee: 1113.65878008
Symbol: IOST | Network: IOST | Withdrawal fee: 1.0
Symbol: YEE | Network: HRC20 | Withdrawal fee: 292.10231319
Symbol: YEE | Network: ERC20 | Withdrawal fee: 38484.47104551
Symbol: DAT | Network: ERC20 | Withdrawal fee: 33333.33333333
Symbol: THETA | Network: HRC20 | Withdrawal fee: 0.03136498
Symbol: THETA | Network: THETA | Withdrawal fee: 0.12
Symbol: LET | Network: HRC20 | Withdrawal fee: 88.644431
Symbol: LET | Network: ERC20 | Withdrawal fee: 6744.542091
Symbol: DTA | Network: ERC20 | Withdrawal fee: 476090.68387854
Symbol: DTA | Network: KLAY | Withdrawal fee: 3000.0
Symbol: UTK | Network: ERC20 | Withdrawal fee: 51.35322833
Symbol: MEET | Network: ERC20 | Withdrawal fee: 14631.0377623
Symbol: ZIL | Network: ZIL | Withdrawal fee: 1.0
Symbol: SOC | Network: TRC20 | Withdrawal fee: 10.0
Symbol: RUFF | Network: HRC20 | Withdrawal fee: 170.47150094
Symbol: OCN | Network: ERC20 | Withdrawal fee: 65354.63217599
Symbol: ELA | Network: ELA | Withdrawal fee: 0.005
Symbol: ELA | Network: HRC20 | Withdrawal fee: 0.02175783
Symbol: BCX | Network: BCX | Withdrawal fee: 999.0
Symbol: Super Bitcoin | Network: SBTC | Withdrawal fee: 0.5
Symbol: Bitcoin File | Network: BIFI | Withdrawal fee: 999.0
Symbol: ZLA | Network: ERC20 | Withdrawal fee: 6198.29081575
Symbol: STK | Network: ERC20 | Withdrawal fee: 42728.54706827
Symbol: WPR | Network: ERC20 | Withdrawal fee: 1132.95116988
Symbol: MTN | Network: ERC20 | Withdrawal fee: 3119.19266666
Symbol: MTX | Network: ERC20 | Withdrawal fee: 2721.82344294
Symbol: EDU | Network: ERC20 | Withdrawal fee: 11904164.71249882
Symbol: BLZ | Network: ERC20 | Withdrawal fee: 65.45100292
Symbol: ABT | Network: ERC20 | Withdrawal fee: 41.78989886
Symbol: CTXC | Network: CTXC | Withdrawal fee: 0.1
Symbol: CTXC | Network: HRC20 | Withdrawal fee: 0.14409996
Symbol: ONT | Network: ONTOLOGY | Withdrawal fee: 1.0
Symbol: BFT | Network: ERC20 | Withdrawal fee: 1217.26586794
Symbol: WAN | Network: WAN | Withdrawal fee: 0.1
Symbol: KAN | Network: ERC20 | Withdrawal fee: 5170.37878619
Symbol: LBA | Network: ERC20 | Withdrawal fee: 2796.86080056
Symbol: POLYX | Network: POLYX | Withdrawal fee: 0.0
Symbol: PAI | Network: PAI | Withdrawal fee: 5.0
Symbol: WTC | Network: ERC20 | Withdrawal fee: 68.43681176
Symbol: WTC | Network: WTC | Withdrawal fee: 0.01
Symbol: BOX | Network: ERC20 | Withdrawal fee: 28764.75928437
Symbol: BOX | Network: HRC20 | Withdrawal fee: 167.17135312
Symbol: DGB | Network: DGB | Withdrawal fee: 0.2
Symbol: BIX | Network: ERC20 | Withdrawal fee: 1064.55669994
Symbol: BIX | Network: HRC20 | Withdrawal fee: 6.18263059
Symbol: XLM | Network: XLM | Withdrawal fee: 0.02
Symbol: XVG | Network: XVG | Withdrawal fee: 0.1
Symbol: HitChain | Network: ERC20 | Withdrawal fee: 749376.558794
Symbol: NCASH | Network: C-CHAIN | Withdrawal fee: 125.75
Symbol: EGCC | Network: ERC20 | Withdrawal fee: 192005.53095126
Symbol: SHE | Network: ERC20 | Withdrawal fee: 2139490.20419968
Symbol: MEX | Network: ERC20 | Withdrawal fee: 38290.8489964
Symbol: IIC | Network: ERC20 | Withdrawal fee: 4488218.31695664
Symbol: GSC | Network: ERC20 | Withdrawal fee: 4305.50437455
Symbol: UC | Network: ERC20 | Withdrawal fee: 2975877.24461966
Symbol: UIP | Network: ERC20 | Withdrawal fee: 162769.55723876
Symbol: CNN | Network: ERC20 | Withdrawal fee: 2672314.08583969
Symbol: AAC | Network: AAC | Withdrawal fee: 25.0
Symbol: UUU | Network: ERC20 | Withdrawal fee: 256487.61142971
Symbol: CDC | Network: ERC20 | Withdrawal fee: 2270.70347284
Symbol: LXT | Network: ERC20 | Withdrawal fee: 178721.49830081
Symbol: BUT | Network: ERC20 | Withdrawal fee: 471859.28898933
Symbol: BUT | Network: HRC20 | Withdrawal fee: 4569.79767835
Symbol: 18C | Network: ERC20 | Withdrawal fee: 10498.45662029
Symbol: DATX | Network: ERC20 | Withdrawal fee: 1438318.55589986
Symbol: PORTAL | Network: ERC20 | Withdrawal fee: 16684.73777693
Symbol: Game.com | Network: ERC20 | Withdrawal fee: 11886.88513236
Symbol: Game.com | Network: HRC20 | Withdrawal fee: 156.11586485
Symbol: Hydro Protocol | Network: ERC20 | Withdrawal fee: 4786.61106216
Symbol: Hydro Protocol | Network: HRC20 | Withdrawal fee: 62.90370517
Symbol: MAN | Network: HRC20 | Withdrawal fee: 1.92852012
Symbol: MAN | Network: ERC20 | Withdrawal fee: 331.74785091
Symbol: Themis | Network: ERC20 | Withdrawal fee: 38106.74858971
Symbol: Themis | Network: HRC20 | Withdrawal fee: 525.373405
Symbol: PC | Network: ERC20 | Withdrawal fee: 490399.28939
Symbol: REN | Network: HRC20 | Withdrawal fee: 0.32040634
Symbol: REN | Network: ERC20 | Withdrawal fee: 55.12777428
Symbol: AE | Network: ERC20 | Withdrawal fee: 89.76691093
Symbol: AE | Network: AE | Withdrawal fee: 0.1
Symbol: BKBT | Network: ERC20 | Withdrawal fee: 691219.91155726
Symbol: INC | Network: ERC20 | Withdrawal fee: 5.64737773
Symbol: GVE | Network: ERC20 | Withdrawal fee: 4102141.56375129
Symbol: SEELE | Network: HRC20 | Withdrawal fee: 10.3087826
Symbol: SEELE | Network: ERC20 | Withdrawal fee: 1775.14792899
Symbol: SEELE | Network: SEELE | Withdrawal fee: 0.01
Symbol: FTI | Network: ERC20 | Withdrawal fee: 416084.21988711
Symbol: FTI | Network: TRC20 | Withdrawal fee: 100.0
Symbol: EKT | Network: ERC20 | Withdrawal fee: 14985.01498501
Symbol: XMX | Network: ERC20 | Withdrawal fee: 523296.47001236
Symbol: YCC | Network: HRC20 | Withdrawal fee: 24.05545254
Symbol: YCC | Network: ERC20 | Withdrawal fee: 1832.247557
Symbol: FAIR | Network: ERC20 | Withdrawal fee: 6900.02054432
Symbol: SSP | Network: ERC20 | Withdrawal fee: 463756.3556
Symbol: EON | Network: ERC20 | Withdrawal fee: 10.0
Symbol: EOP | Network: ERC20 | Withdrawal fee: 5.0
Symbol: LYM | Network: ERC20 | Withdrawal fee: 2173.15305803
Symbol: ZJLT | Network: ERC20 | Withdrawal fee: 759247.78320558
Symbol: MEETONE | Network: EOS | Withdrawal fee: 300.0
Symbol: Penta | Network: ERC20 | Withdrawal fee: 1441676.69190617
Symbol: IDT | Network: HRC20 | Withdrawal fee: 1416.97680077
Symbol: IDT | Network: ERC20 | Withdrawal fee: 83202.39674394
Symbol: DAC | Network: ERC20 | Withdrawal fee: 616297.13944191
Symbol: BCV | Network: BCV | Withdrawal fee: 5.0
Symbol: SEXC | Network: ERC20 | Withdrawal fee: 50.0
Symbol: TOS | Network: ERC20 | Withdrawal fee: 190732.83491152
Symbol: MUSK | Network: HRC20 | Withdrawal fee: 61.32062043
Symbol: MUSK | Network: ERC20 | Withdrawal fee: 10549.68251611
Symbol: ADD | Network: EOS | Withdrawal fee: 100.0
Symbol: MT | Network: ERC20 | Withdrawal fee: 43374.78071667
Symbol: KCASH | Network: HRC20 | Withdrawal fee: 28.35280558
Symbol: KCASH | Network: ERC20 | Withdrawal fee: 4880.64141583
Symbol: IQ | Network: EOS | Withdrawal fee: 50.0
Symbol: NCC | Network: ERC20 | Withdrawal fee: 6725.90739288
Symbol: RCCC | Network: TRC20 | Withdrawal fee: 2028.1233
Symbol: HPT | Network: ERC20 | Withdrawal fee: 3649.56044332
Symbol: HPT | Network: HRC20 | Withdrawal fee: 48.15760671
Symbol: CVNX | Network: ERC20 | Withdrawal fee: 845.3281115
Symbol: RTE | Network: ERC20 | Withdrawal fee: 83673.37747915
Symbol: TRIO | Network: ERC20 | Withdrawal fee: 155572.34848428
Symbol: GRS | Network: GRS | Withdrawal fee: 0.2
Symbol: ARDR | Network: ARDR | Withdrawal fee: 2.0
Symbol: NANO | Network: NANO | Withdrawal fee: 0.01
Symbol: ZEN | Network: ZEN | Withdrawal fee: 0.002
Symbol: RBTC | Network: RBTC | Withdrawal fee: 0.00015
Symbol: BSV | Network: BSV | Withdrawal fee: 0.0005
Symbol: BSV | Network: ERC20 | Withdrawal fee: 0.2105493
Symbol: BSV | Network: HRC20 | Withdrawal fee: 0.0009137
Symbol: ONG | Network: GAS | Withdrawal fee: 0.21
Symbol: MXC | Network: ERC20 | Withdrawal fee: 290.51413298
Symbol: XTZ | Network: HRC20 | Withdrawal fee: 0.02982326
Symbol: XTZ | Network: ERC20 | Withdrawal fee: 6.88715562
Symbol: XTZ | Network: XTZ | Withdrawal fee: 0.1
Symbol: NULS | Network: NULS | Withdrawal fee: 0.01
Symbol: COVA | Network: ERC20 | Withdrawal fee: 200479.11600441
Symbol: LAMB | Network: HRC20 | Withdrawal fee: 19.26863511
Symbol: LAMB | Network: ERC20 | Withdrawal fee: 3315.12197119
Symbol: CVNT | Network: CVNT1 | Withdrawal fee: 0.1
Symbol: CVNT | Network: TRC20 | Withdrawal fee: 0.2959
Symbol: DOCK | Network: DOCK | Withdrawal fee: 5.0
Symbol: BTT | Network: TRC20 | Withdrawal fee: 60000.0
Symbol: BTT | Network: BTT | Withdrawal fee: 100000.0
Symbol: SC | Network: SC | Withdrawal fee: 0.1
Symbol: KMD | Network: KMD | Withdrawal fee: 0.002
Symbol: LOOM | Network: ERC20 | Withdrawal fee: 86.21281307
Symbol: NEXO | Network: HRC20 | Withdrawal fee: 0.0491541
Symbol: NEXO | Network: ERC20 | Withdrawal fee: 8.46460435
Symbol: ETN | Network: ETN | Withdrawal fee: 150.0
Symbol: NPXS | Network: HRC20 | Withdrawal fee: 57.6982877
Symbol: NPXS | Network: ERC20 | Withdrawal fee: 4733.0
Symbol: TOP | Network: TOP | Withdrawal fee: 0.1
Symbol: DOGE | Network: DOGE | Withdrawal fee: 5.0
Symbol: DOGE | Network: HRC20 | Withdrawal fee: 0.39572424
Symbol: IRIS | Network: IRIS | Withdrawal fee: 1.0
Symbol: HVT | Network: EOS | Withdrawal fee: 50.0
Symbol: TFUEL | Network: THETA | Withdrawal fee: 1.0
Symbol: UGAS | Network: ERC20 | Withdrawal fee: 4754.49447536
Symbol: UGAS | Network: UGAS | Withdrawal fee: 5.0
Symbol: ATOM | Network: ATOM1 | Withdrawal fee: 0.005
Symbol: TT | Network: HRC20 | Withdrawal fee: 6.90196078
Symbol: TT | Network: TT | Withdrawal fee: 1.0
Symbol: NEW | Network: NEWTON | Withdrawal fee: 21.0
Symbol: RSR | Network: HRC20 | Withdrawal fee: 7.64603994
Symbol: RSR | Network: ERC20 | Withdrawal fee: 1316.70530245
Symbol: ATP | Network: NRC20 | Withdrawal fee: 0.5
Symbol: NKN | Network: ERC20 | Withdrawal fee: 44.78505027
Symbol: ALGO | Network: ALGO | Withdrawal fee: 0.01
Symbol: OGO | Network: ERC20 | Withdrawal fee: 41673.94950594
Symbol: CRO | Network: ERC20 | Withdrawal fee: 55.86822822
Symbol: CRO | Network: CRO | Withdrawal fee: 0.5
Symbol: CRO | Network: HRC20 | Withdrawal fee: 0.77327595
Symbol: EGT | Network: ERC20 | Withdrawal fee: 13737.22411811
Symbol: AKRO | Network: ERC20 | Withdrawal fee: 1659.2516363
Symbol: AKRO | Network: HRC20 | Withdrawal fee: 7.26400735
Symbol: PVT | Network: ERC20 | Withdrawal fee: 629392.39591633
Symbol: CNNS | Network: ERC20 | Withdrawal fee: 41459.26182067
Symbol: CNNS | Network: HRC20 | Withdrawal fee: 544.67124627
Symbol: GT | Network: ERC20 | Withdrawal fee: 1.02259837
Symbol: HBC | Network: ERC20 | Withdrawal fee: 2.52257353
Symbol: HBC | Network: HRC20 | Withdrawal fee: 0.02378645
Symbol: PIZZA | Network: EOS | Withdrawal fee: 25.0
Symbol: VSYS | Network: VSYS | Withdrawal fee: 1.0
Symbol: FSN | Network: FSN | Withdrawal fee: 0.5
Symbol: CRE | Network: ERC20 | Withdrawal fee: 1116.18410098
Symbol: FTT | Network: ERC20 | Withdrawal fee: 4.23233325
Symbol: FTT | Network: HRC20 | Withdrawal fee: 0.02459972
Symbol: LOL | Network: IRC20 | Withdrawal fee: 500.0
Symbol: WXT | Network: ERC20 | Withdrawal fee: 1569.74762661
Symbol: WXT | Network: CCHAIN | Withdrawal fee: 150.0308
Symbol: ARPA | Network: ERC20 | Withdrawal fee: 127.84419679
Symbol: ARPA | Network: HRC20 | Withdrawal fee: 0.74294
Symbol: FOR | Network: ERC20 | Withdrawal fee: 214.38003886
Symbol: FOR | Network: HRC20 | Withdrawal fee: 1.2452204
Symbol: VIDY | Network: ERC20 | Withdrawal fee: 78759.93253451
Symbol: NODE | Network: ERC20 | Withdrawal fee: 1249947.41627
Symbol: BHD | Network: BHD | Withdrawal fee: 0.05
Symbol: ONE | Network: ONE | Withdrawal fee: 0.3
Symbol: EM | Network: EM | Withdrawal fee: 1.0
Symbol: MX | Network: HRC20 | Withdrawal fee: 0.01589982
Symbol: MX | Network: ERC20 | Withdrawal fee: 2.73706812
Symbol: CKB | Network: CKB | Withdrawal fee: 1.0
Symbol: SKM | Network: HRC20 | Withdrawal fee: 190.35918292
Symbol: SKM | Network: ERC20 | Withdrawal fee: 14759.47135553
Symbol: EOSS | Network: EOSS | Withdrawal fee: 0.1
Symbol: HIVE | Network: HIVE | Withdrawal fee: 0.01
Symbol: JST | Network: TRC20 | Withdrawal fee: 5.0
Symbol: OGN | Network: ERC20 | Withdrawal fee: 44.98561637
Symbol: RVN | Network: RVN | Withdrawal fee: 1.0
Symbol: USD01 | Network: ERC20 | Withdrawal fee: 1.0
Symbol: NEST | Network: HRC20 | Withdrawal fee: 1.96615664
Symbol: NEST | Network: ERC20 | Withdrawal fee: 417.95587117
Symbol: DOT | Network: DOT | Withdrawal fee: 0.1
Symbol: DOT | Network: ERC20 | Withdrawal fee: 1.18583195
Symbol: DOT | Network: HRC20 | Withdrawal fee: 0.00517481
Symbol: KSM | Network: HRC20 | Withdrawal fee: 0.0009796
Symbol: KSM | Network: KSM | Withdrawal fee: 0.01
Symbol: CHR | Network: ERC20 | Withdrawal fee: 33.855817
Symbol: CHR | Network: HRC20 | Withdrawal fee: 0.19666203
Symbol: LUNC | Network: HRC20 | Withdrawal fee: 264.953777
Symbol: LUNC | Network: LUNC | Withdrawal fee: None
Symbol: BAL | Network: ERC20 | Withdrawal fee: 0.809579
Symbol: BAL | Network: HRC20 | Withdrawal fee: 0.00470274
Symbol: BAND | Network: BAND | Withdrawal fee: 0.01
Symbol: NVT | Network: NVT | Withdrawal fee: 0.1
Symbol: ANT | Network: ERC20 | Withdrawal fee: 1.73696795
Symbol: MKR | Network: HRC20MKR | Withdrawal fee: 4.578e-05
Symbol: MKR | Network: ERC20 | Withdrawal fee: 0.00788222
Symbol: DAI | Network: CUBEDAI | Withdrawal fee: 0.55
Symbol: DAI | Network: ERC20 | Withdrawal fee: 5.65308841
Symbol: DAI | Network: HRC20DAI | Withdrawal fee: 0.03283973
Symbol: CRV | Network: ERC20 | Withdrawal fee: 5.61340709
Symbol: CRV | Network: HRC20 | Withdrawal fee: 0.03263582
Symbol: ANKR | Network: ERC20 | Withdrawal fee: 159.27761245
Symbol: DKA | Network: ERC20 | Withdrawal fee: 219.21410965
Symbol: COMP | Network: ERC20 | Withdrawal fee: 0.1314401
Symbol: COMP | Network: HRC20 | Withdrawal fee: 0.00076369
Symbol: SNX | Network: HRC20 | Withdrawal fee: 0.01266707
Symbol: SNX | Network: ERC20 | Withdrawal fee: 2.72833997
Symbol: LEND | Network: ERC20 | Withdrawal fee: 3.60764261
Symbol: TRB | Network: ERC20 | Withdrawal fee: 0.39478112
Symbol: STPT | Network: HRC20 | Withdrawal fee: 0.58686634
Symbol: STPT | Network: ERC20 | Withdrawal fee: 101.03625796
Symbol: WNXM | Network: HRC20 | Withdrawal fee: 0.00123666
Symbol: WNXM | Network: ERC20 | Withdrawal fee: 0.21296255
Symbol: YFII | Network: HRC20 | Withdrawal fee: 2.951e-05
Symbol: YFII | Network: ERC20 | Withdrawal fee: 0.00508266
Symbol: YFI | Network: HRC20 | Withdrawal fee: 3.58e-06
Symbol: YFI | Network: ERC20 | Withdrawal fee: 0.00061758
Symbol: BNT | Network: ERC20 | Withdrawal fee: 10.69278056
Symbol: BNT | Network: HRC20 | Withdrawal fee: 0.06211203
Symbol: DF | Network: ERC20 | Withdrawal fee: 84.00753898
Symbol: DF | Network: HRC20 | Withdrawal fee: 0.48798187
Symbol: SPA | Network: ERC20 | Withdrawal fee: 1301.17630277
Symbol: MLN | Network: HRC20 | Withdrawal fee: 0.00145971
Symbol: MLN | Network: ERC20 | Withdrawal fee: 0.25128028
Symbol: VALUE | Network: ERC20 | Withdrawal fee: 28.52545439
Symbol: YAM | Network: ERC20 | Withdrawal fee: 23.27719024
Symbol: YAMV2 | Network: ERC20 | Withdrawal fee: 1.37684152
Symbol: PEARL | Network: TRC20 | Withdrawal fee: 0.001
Symbol: SWRV | Network: HRC20 | Withdrawal fee: 0.29261226
Symbol: SWRV | Network: ERC20 | Withdrawal fee: 50.39153928
Symbol: AUCTION | Network: ERC20 | Withdrawal fee: 0.97347147
Symbol: BOT | Network: ERC20 | Withdrawal fee: 0.0113596
Symbol: SUN | Network: TRC20 | Withdrawal fee: 2.93
Symbol: WING | Network: OEP4 | Withdrawal fee: 0.004
Symbol: NBS | Network: NBS | Withdrawal fee: 1.0
Symbol: AVAX | Network: AVAX | Withdrawal fee: 0.01
Symbol: AVAX | Network: CCHAIN | Withdrawal fee: 0.01
